"date","state","recover"
2020-10-27,"NEGERI SEMBILAN",NA
2020-10-27,"MELAKA",NA
2020-10-27,"JOHOR",3
2020-10-27,"PAHANG",NA
2020-10-27,"TERENGGANU",NA
2020-10-27,"KELANTAN",NA
2020-10-27,"SABAH",NA
2020-10-27,"SARAWAK",3
2020-10-27,"WP LABUAN",NA
2020-10-28,"PERLIS",NA
2020-10-28,"KEDAH",NA
2020-10-28,"PULAU PINANG",NA
2020-10-28,"PERAK",NA
2020-10-28,"SELANGOR",NA
2020-10-28,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-10-28,"NEGERI SEMBILAN",NA
2020-10-28,"MELAKA",NA
2020-10-28,"JOHOR",NA
2020-10-28,"PAHANG",NA
2020-10-28,"TERENGGANU",0
2020-10-28,"KELANTAN",NA
2020-10-28,"SABAH",NA
2020-10-28,"SARAWAK",NA
2020-10-28,"WP LABUAN",NA
2020-10-29,"PERLIS",NA
2020-10-29,"KEDAH",NA
2020-10-29,"PULAU PINANG",NA
2020-10-29,"PERAK",NA
2020-10-29,"SELANGOR",NA
2020-10-29,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-10-29,"NEGERI SEMBILAN",NA
2020-10-29,"MELAKA",NA
2020-10-29,"JOHOR",NA
2020-10-29,"PAHANG",NA
2020-10-29,"TERENGGANU",NA
2020-10-29,"KELANTAN",NA
2020-10-29,"SABAH",NA
2020-10-29,"SARAWAK",NA
2020-10-29,"WP LABUAN",NA
2020-10-30,"PERLIS",NA
2020-10-30,"KEDAH",NA
2020-10-30,"PULAU PINANG",NA
2020-10-30,"PERAK",NA
2020-10-30,"SELANGOR",NA
2020-10-30,"WP KUALA LUMPUR/PUTRAJAYA",2
2020-10-30,"NEGERI SEMBILAN",NA
2020-10-30,"MELAKA",NA
2020-10-30,"JOHOR",NA
2020-10-30,"PAHANG",NA
2020-10-30,"TERENGGANU",0
2020-10-30,"KELANTAN",NA
2020-10-30,"SABAH",NA
2020-10-30,"SARAWAK",NA
2020-10-30,"WP LABUAN",NA
2020-10-31,"PERLIS",NA
2020-10-31,"KEDAH",NA
2020-10-31,"PULAU PINANG",NA
2020-10-31,"PERAK",NA
2020-10-31,"SELANGOR",NA
2020-10-31,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-10-31,"NEGERI SEMBILAN",NA
2020-10-31,"MELAKA",NA
2020-10-31,"JOHOR",NA
2020-10-31,"PAHANG",NA
2020-10-31,"TERENGGANU",NA
2020-10-31,"KELANTAN",NA
2020-10-31,"SABAH",NA
2020-10-31,"SARAWAK",NA
2020-10-31,"WP LABUAN",NA
2020-11-01,"PERLIS",NA
2020-11-01,"KEDAH",NA
2020-11-01,"PULAU PINANG",NA
2020-11-01,"PERAK",10
2020-11-01,"SELANGOR",NA
2020-11-01,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-01,"NEGERI SEMBILAN",NA
2020-11-01,"MELAKA",5
2020-11-01,"JOHOR",0
2020-11-01,"PAHANG",NA
2020-11-01,"TERENGGANU",NA
2020-11-01,"KELANTAN",NA
2020-11-01,"SABAH",NA
2020-11-01,"SARAWAK",NA
2020-11-01,"WP LABUAN",NA
2020-11-02,"PERLIS",NA
2020-11-02,"KEDAH",NA
2020-11-02,"PULAU PINANG",NA
2020-11-02,"PERAK",NA
2020-11-02,"SELANGOR",NA
2020-11-02,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-02,"NEGERI SEMBILAN",NA
2020-11-02,"MELAKA",NA
2020-11-02,"JOHOR",NA
2020-11-02,"PAHANG",NA
2020-11-02,"TERENGGANU",NA
2020-11-02,"KELANTAN",NA
2020-11-02,"SABAH",NA
2020-11-02,"SARAWAK",NA
2020-11-02,"WP LABUAN",NA
2020-11-03,"PERLIS",NA
2020-11-03,"KEDAH",NA
2020-11-03,"PULAU PINANG",NA
2020-11-03,"PERAK",NA
2020-11-03,"SELANGOR",NA
2020-11-03,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-03,"NEGERI SEMBILAN",3
2020-11-03,"MELAKA",13
2020-11-03,"JOHOR",NA
2020-11-03,"PAHANG",NA
2020-11-03,"TERENGGANU",NA
2020-11-03,"KELANTAN",NA
2020-11-03,"SABAH",NA
2020-11-03,"SARAWAK",NA
2020-11-03,"WP LABUAN",NA
2020-11-04,"PERLIS",NA
2020-11-04,"KEDAH",NA
2020-11-04,"PULAU PINANG",NA
2020-11-04,"PERAK",21
2020-11-04,"SELANGOR",NA
2020-11-04,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-04,"NEGERI SEMBILAN",NA
2020-11-04,"MELAKA",1
2020-11-04,"JOHOR",3
2020-11-04,"PAHANG",NA
2020-11-04,"TERENGGANU",NA
2020-11-04,"KELANTAN",NA
2020-11-04,"SABAH",NA
2020-11-04,"SARAWAK",NA
2020-11-04,"WP LABUAN",NA
2020-11-05,"PERLIS",NA
2020-11-05,"KEDAH",NA
2020-11-05,"PULAU PINANG",NA
2020-11-05,"PERAK",8
2020-11-05,"SELANGOR",NA
2020-11-05,"WP KUALA LUMPUR/PUTRAJAYA",NA
